SITE_CODE,SITE_NAME,CEF.include,Marine.only,Altnames.sufficient,Altnames.SPApolys,Altnames.SMP,Altnames.Productivity,Altnames.BDMPS,Altnames.FR
UK9006101,Flamborough and Filey Coast,Y,NA,NA,NA,NA,NA,Flamborough and Filey,NA
UK9001021,Flannan Isles,Y,NA,NA,NA,NA,NA,Flannan Islands,NA
UK9020306,Foinaven,NA,NA,NA,NA,NA,NA,NA,NA
UK9004381,Forest of Clunie,NA,NA,NA,NA,NA,NA,NA,NA
UK9004171,Forth Islands,Y,NA,NA,NA,NA,NA,NA,NA
UK9002061,Foula,Y,NA,NA,NA,NA,NA,NA,NA
UK9009246,Foulness (Mid-Essex Coast Phase 5),Y,NA,NA,NA,NA,NA,Foulness,NA
UK9002271,Fowlsheugh,Y,NA,NA,NA,NA,NA,NA,NA
UK9008022,Gibraltar Point,Y,NA,NA,NA,NA,NA,Gibraltar point,NA
UK9004231,Gladhouse Reservoir,NA,NA,NA,NA,NA,NA,NA,NA
UK9013121,Glannau Aberdaron ac Ynys Enlli/ Aberdaron Coast and Bardsey Island,Y,NA,NA,NA,Aberdaron Coast and Bardsey Island,Aberdaron Coast and Bardsey Island,Aberdaron Coast and Bardsey,NA
UK9013101,Glannau Ynys Gybi/ Holy Island Coast,NA,NA,NA,NA,NA,NA,NA,NA
UK9003211,Glas Eileanan,Y,NA,NA,NA,NA,NA,NA,NA
UK9020303,Glen Affric to Strathconon,NA,NA,NA,NA,NA,NA,NA,NA
UK9003351,Glen App and Galloway Moors,NA,NA,NA,NA,NA,NA,NA,NA
UK9020307,Glen Etive and Glen Fyne,NA,NA,NA,NA,NA,NA,NA,NA
UK9002771,Glen Tanar,NA,NA,NA,NA,NA,NA,NA,NA
UK9014041,Grassholm,Y,NA,NA,NA,NA,NA,NA,NA
UK9009271,Great Yarmouth North Denes,Y,NA,NA,NA,NA,NA,NA,NA
UK9020329,Greater Wash,Y,Y,NA,NA,NA,NA,NA,NA
UK9004281,Greenlaw Moor,NA,NA,NA,NA,NA,NA,NA,NA
UK9003051,"Gruinart Flats, Islay",NA,NA,NA,NA,NA,NA,NA,NA
UK9009131,Hamford Water,Y,NA,NA,NA,NA,NA,NA,NA
UK9001241,Handa,Y,NA,NA,NA,Handa Island,Handa Island,NA,NA
UK9002011,"Hermaness, Saxa Vord and Valla Field",Y,NA,NA,NA,NA,NA,"Hermaness, Saxavord and Valla Field; Hermaness, Saxavord",NA
UK9006041,Holburn Lake and Moss,NA,NA,NA,NA,NA,NA,NA,NA
UK9006171,Hornsea Mere,NA,NA,NA,NA,NA,NA,NA,NA
UK9002141,Hoy,Y,NA,NA,NA,NA,NA,NA,NA
UK9006111,Humber Estuary,Y,NA,NA,NA,NA,NA,NA,NA
UK9004451,"Imperial Dock Lock, Leith",Y,NA,NA,NA,NA,NA,Imperial Dock Lock,NA
UK9003061,Inner Clyde Estuary,NA,NA,NA,NA,NA,NA,NA,NA
UK9001624,Inner Moray Firth,Y,NA,NA,NA,NA,NA,NA,NA
UK9001511,"Inverpolly, Loch Urigill and nearby Lochs",NA,NA,NA,"Inverpolly, Loch Urigill and Nearby Lochs",NA,NA,NA,NA
UK9020328,Irish Sea Front,Y,Y,NA,NA,NA,NA,NA,NA
UK9020288,Isles of Scilly,Y,NA,NA,NA,NA,NA,NA,NA
UK9020304,"Jura, Scarba and the Garvellachs",NA,NA,NA,NA,NA,NA,NA,NA
UK9020221,Killough Bay,NA,NA,NA,NA,NA,NA,NA,NA
UK9001083,"Kilpheder and Smerclate, South Uist",NA,NA,NA,"Kilpheder to Smerclate, South Uist",NA,NA,NA,NA
UK9003071,Kintyre Goose Roosts,NA,NA,NA,NA,NA,NA,NA,NA
UK9002581,Kinveachy Forest,NA,NA,NA,NA,NA,NA,NA,NA
UK9003301,Knapdale Lochs,NA,NA,NA,NA,NA,NA,NA,NA
UK9003053,"Laggan, Islay",NA,NA,NA,NA,NA,NA,NA,NA
UK9001611,Lairg and Strath Brora Lochs,NA,NA,NA,Lairg and Strathbrora Lochs,NA,NA,NA,NA
UK9003271,Langholm - Newcastleton Hills,NA,NA,NA,NA,NA,NA,NA,NA
UK9020042,Larne Lough,Y,NA,NA,NA,NA,NA,NA,NA
UK9012111,Lee Valley,NA,NA,NA,NA,NA,NA,NA,NA
UK9005091,Leighton Moss,NA,NA,NA,NA,NA,NA,NA,NA
UK9001571,Lewis Peatlands,Y,NA,NA,NA,NA,NA,NA,NA
UK9006011,Lindisfarne,Y,NA,NA,NA,NA,NA,NA,NA
UK9020294,Liverpool Bay / Bae Lerpwl,Y,Y,NA,Liverpool Bay,NA,NA,NA,NA
